Unit Title,Components,Delivery Date,Duration,Notes,SOU Evidence,Section,Status,Subsection
Unit 3: Builder's Code Workshop - Creating Our Community Agreement,"Discussion Forum, Reading, Video",,25 min,"Co-create cohort Builder's Code, enforcement ladder (3-step: Spot+Name, Rewrite Request, Boundary), practice using enforcement",Yes,Module 2,Not Started,Shared Values
Unit 6: Module 2 Assessment & Integration,"Assessment/Quiz, Discussion Forum, Written Assignment",,20 min,"Knowledge Check quiz (10 questions, 80% pass), Identity Integration Plan (1-week action plan), accountability partners",Yes,Module 2,Not Started,Completion
Unit 7.5: Builder Feedback Framework — STANDING PRACTICE,"Activity Instructions, Discussion Forum, Reading, Video",,15 min,"4-step framework: I notice, I wonder, Have you tried, What you did well. Mandatory for all future group work. Practice in groups of 3-4. Reflection 200+ words",Yes,Module 2,Not Started,Feedback Infrastructure
Unit 5: Builder Affirmations - Claiming Your Identity,"Activity Instructions, Discussion Forum, Video",,20 min,"Create 5 builder affirmations, record yourself saying them (audio/video), daily practice commitment plan",Yes,Module 2,Not Started,Affirmation Practice
Unit 4.5: Regulation Buddy System — TRIBE AS NERVOUS SYSTEM SUPPORT,"Activity Instructions, Reading, Video",,15 min,"Match with opposite Builder Type. Weekly check-ins: Are you regulated? What do you need? Co-regulation practice, not therapy",Yes,Module 3,Not Started,Co-Regulation
Unit 7: Breaking Patterns - Letting Go to Move Forward,"Discussion Forum, Reading, Video, Written Assignment",,35 min,"Childhood trauma patterns, change approach or let go. Pattern-Breaking Plan (400+ words)",Yes,Module 3,Not Started,Pattern Interruption
Unit 5: Mind-Body Balance - Using Your Body as Intended,"Reading, Video, Written Assignment",,25 min,"Somatic awareness, polyvagal theory. 7-day movement practice matched to Builder Type (200+ words reflection)",Yes,Module 3,Not Started,Embodiment
"Unit 1: The Science of You - Energy, Frequency & Vibration","Discussion Forum, Reading, Video",,30 min,"Tesla quote, heart coherence research, cymatics, Fibonacci. Video 10-12 min. Energy awareness forum",No,Module 3,Not Started,Foundations
Unit 6: Trusting Your Gut - Intuition as Data,"Reading, Video, Written Assignment",,30 min,Intuition vs Dopamine vs Fear Sorting Drill. 3 retroactive + 3 prospective decisions (150+ words each retroactive),Yes,Module 3,Not Started,Intuition
Unit 2: Heart Coherence - Your Built-In Superpower,"Reading, Video, Written Assignment",,35 min,"HeartMath approach, Quick Coherence Technique. 7-day practice log: 3 days experimenting entry styles + 4 days committed practice",Yes,Module 3,Not Started,Regulation Practice
Unit 3: The Five Hindrances - What Stops You From Clarity,"Discussion Forum, Reading, Video, Written Assignment",,35 min,"Shi Heng Yi framework: sensual desire, ill will, sloth/torpor, restlessness, doubt. Hindrance Inventory + Builder Type mapping (250+ words per hindrance)",Yes,Module 3,Not Started,Pattern Recognition
Unit 4: The RAIN Method - Removing Obstacles in Real Time,"Discussion Forum, Reading, Video, Written Assignment",,30 min,"Recognize, Accept, Investigate, Non-identification. 7-day RAIN journal (mix of long-form + 90-second micro-drills, 100+ words each)",Yes,Module 3,Not Started,Obstacle Removal
Unit 0: Your Wiring Under Pressure Calibration,"Activity Instructions, Worksheet",,15 min,"Energy Calibration Sheet using BPEP results. Identifies dysregulation patterns, default hindrances, regulation entry points",Yes,Module 3,Not Started,Pre-Work
Unit 10: Module 3 Assessment & Integration,"Assessment/Quiz, Discussion Forum, Written Assignment",,25 min,"Knowledge Check (15 questions, 80% pass). 30-day practice commitment + Module 4 prep (400+ words total)",Yes,Module 3,Not Started,Completion
Unit 9.6: Problem Selection Filter (Pre-Module 4 Bridge),"Activity Instructions, Reading, Written Assignment",,25 min,Dopamine vs gut vs fear for 3 problems. Must discard at least one idea on purpose. Teaches restraint (200+ words reflection),Yes,Module 3,Not Started,Restraint Practice
Unit 9: Energy & Entrepreneurship - Applying Inner Work to Building,"Reading, Video, Written Assignment",,30 min,Builder Operating Agreement (BOA) - Module 3 exit artifact. Pre-Build Readiness Check (500+ words total). Required before Module 4,Yes,Module 3,Not Started,Integration
Unit 8: Connection to Source - The One Behind the Two,"Reading, Video, Written Assignment",,25 min,"Yin/yang mother, Source connection. Building from wholeness vs lack. Source reflection (300+ words)",No,Module 3,Not Started,Spiritual Foundation
Unit 9.5: Builder Readiness Gate (MANDATORY),"Activity Instructions, Reading",,20 min,Must answer YES to 3 of 4 criteria. Prevents dysregulated entry into entrepreneurship. Self-assessment submission required,Yes,Module 3,Not Started,Gate
Unit 8: Pricing Your MVP—What to Charge,"Discussion Forum, Reading, Video, Written Assignment",,25 min,"Cost-plus, market rate, value-based pricing. Pricing plan + script (300+ words)",Yes,Module 4,Not Started,Pricing
"Unit 0: From ""Entrepreneur"" to ""Builder""","Discussion Forum, Reading, Video",,15 min,Entrepreneurship = builder DNA you already have. Resourcefulness > resources. Video 8-10 min,No,Module 4,Not Started,Reframe
Unit 1: Myth-Busting—What Entrepreneurship Isn't,"Discussion Forum, Reading, Video, Written Assignment",,20 min,"5 myths: need money, must invent new, only extroverts, need degree, no room if done before. Myth Inventory (300+ words)",Yes,Module 4,Not Started,Myth Busting
Unit 2: Problem Scavenger Hunt—Finding Ideas Close to Home,"Discussion Forum, Reading, Video, Written Assignment",,30 min,List 10+ problems with nervous system filter. Pain point vs preference. Problem list (400+ words),Yes,Module 4,Not Started,Problem Finding
Unit 3: Idea Generation Jam—Brainstorming Solutions,"Activity Instructions, Discussion Forum, Reading, Video",,30 min,"SCAMPER technique, How might we questions. Generate 20+ solution ideas (10 per problem). Collaborative ideation forum",Yes,Module 4,Not Started,Solution Generation
Unit 5: Customer Discovery—Talk to Real People,"Discussion Forum, Reading, Video, Written Assignment",,40 min,"The Mom Test, conduct 3 customer interviews. Interview notes (200+ words each) + summary reflection (300+ words)",Yes,Module 4,Not Started,Validation
Unit 4: Choosing Your Problem—Making the Commitment,"Discussion Forum, Reading, Video, Written Assignment",,25 min,"3 circles framework, Builder Type alignment check. Idea selection + BOA alignment (500+ words)",Yes,Module 4,Not Started,Problem Selection
Unit 7: Launch Witness System—Tribe as Momentum Holder,"Activity Instructions, Reading, Video",,25 min,MVP Sprint Groups (3-4 people). Launch Witness before/after check-ins. Celebrate completion not outcome,Yes,Module 4,Not Started,Launch Support
Unit 6: MVP Design—Building Your First Version,"Discussion Forum, Reading, Video, Written Assignment",,35 min,Lean Startup Build-Measure-Learn. MVP Canvas with regulation check (500+ words). Must fit BOA,Yes,Module 4,Not Started,MVP Creation
Unit 10: Pitch Workshop—Selling Your Vision,"Discussion Forum, Reading, Video, Written Assignment",,40 min,"4-part pitch: Hook, Solution, Proof, Ask. Record 60-second pitch + regulation reflection (200+ words)",Yes,Module 4,Not Started,Pitching
Unit 11: Module 4 Wrap & Next Steps,"Assessment/Quiz, Discussion Forum, Reading, Video, Written Assignment",,15 min,"30-day business plan (500+ words). Knowledge Check (15 questions, 80% pass). Certificate requires MVP launch evidence",Yes,Module 4,Not Started,Completion
Unit 9: MVP Launch Week—Test Your Idea,"Activity Instructions, Discussion Forum, Reading, Video",,1-2 weeks,LAUNCH MVP with 3+ customers. Launch report (500+ words) + evidence + Launch Witness confirmation. THIS IS THE WIN,Yes,Module 4,Not Started,Launch
Unit 7: Module 5 Wrap & Graduation Commitment,"Assessment/Quiz, Reading, Video, Written Assignment",,15 min,"Graduation Commitment: Pledge summary, Network vote, Role, First action, Who you're lifting. Knowledge Check (10 questions, 80% pass)",Yes,Module 5,Not Started,Completion
"Unit 1: Alumni Panel—""What I Wish I Knew""","Discussion Forum, Reading, Video",,30 min,2-3 alumni interviews (5-7 min each). Post-graduation challenges and wins. Alumni Q&A forum,No,Module 5,Not Started,Alumni Voices
Unit 2: Builder-Quality Feedback,"Activity Instructions, Discussion Forum, Reading, Video",,30 min,"Builder Feedback Framework: I noticed, Here's what I observed, Have you considered. Practice pairs. Reflection (250+ words)",Yes,Module 5,Not Started,Feedback Skills
Unit 4: Pay-It-Forward Pledge—Graduation Threshold,"Discussion Forum, Reading, Video, Written Assignment",,30 min,NON-NEGOTIABLE graduation requirement. Minimum 1 hr/month for 6 months. Pay-It-Forward Pledge (300+ words). Posted to Pay-It-Forward Wall,Yes,Module 5,Not Started,Commitment
Unit 0: The Infrastructure You've Already Built,"Discussion Forum, Reading, Video, Written Assignment",,20 min,"You've been leading since Module 1: Witness, Mirror, Culture Holder, Regulator, Executor. Leadership Inventory (400+ words)",Yes,Module 5,Not Started,Recognition
Unit 6: Mentorship Matching—Expected Progression,"Discussion Forum, Reading, Video, Written Assignment",,25 min,"Every graduate: Mentor, Near-Peer, or Pod Member. No spectators. Role claim + availability (300+ words)",Yes,Module 5,Not Started,Role Assignment
Unit 5: Co-Designing the Alumni Network,"Activity Instructions, Discussion Forum, Reading",,25 min,"Vote on network structure: Slack/Discord, Monthly Circles, In-Person, Pods, 1:1 Matching, Combo. Nominate peer leads",Yes,Module 5,Not Started,Network Design
Unit 3: Peer Coaching Skills—Asking Powerful Questions,"Activity Instructions, Discussion Forum, Reading, Video",,30 min,"Coaching vs advising. Practice triads (coach, coachee, observer). Coaching reflection (300+ words)",Yes,Module 5,Not Started,Coaching Practice
Unit 3: Budget Reality Check,"Activity Instructions, Discussion Forum, Reading, Video, Written Assignment",,30 min,Builder's Budget Framework by Builder Type. Budget draft + 7-day spending log + reflection (200+ words). Optional Budget Reality Partners activity,Yes,Module 6,Not Started,Budgeting
Unit 6: Wealth-Building Basics (Investing 101),"Discussion Forum, Reading, Video, Written Assignment",,25 min,"Compound interest, retirement accounts, index funds, micro-investing. Wealth-Building Starter Plan (250+ words)",Yes,Module 6,Not Started,Investing
Unit 0: Money as Recovery Protection,"Discussion Forum, Reading, Video",,15 min,Financial instability as relapse trigger. Money as tool not morality. Economic mobility research. Video 8-10 min,No,Module 6,Not Started,Foundation
Unit 2: Money Mindset Audit,"Discussion Forum, Reading, Video, Written Assignment",,20 min,Limiting beliefs about money. Challenge and reframe. Money Mindset Audit (300+ words),Yes,Module 6,Not Started,Beliefs
Unit 7: Financial Load-Bearing Map (Tribe Integration),"Discussion Forum, Reading, Video, Written Assignment",,25 min,Financial stress isolation. Tribe load-sharing strategies. Financial Load-Bearing Map + reflection (300+ words),Yes,Module 6,Not Started,Tribe Support
Unit 4: Credit Crash Course,"Discussion Forum, Reading, Video, Written Assignment",,25 min,Credit is trust score not morality. How to build/repair credit. Credit Action Plan (250+ words),Yes,Module 6,Not Started,Credit
Unit 5: Saving & Emergency Funds,"Discussion Forum, Reading, Video, Written Assignment",,25 min,Start with $5. Saving strategies by Builder Type. Savings plan + 30-day log,Yes,Module 6,Not Started,Saving
Unit 1: Money Patterns Map (Tribe Mirror),"Activity Instructions, Discussion Forum, Reading, Video, Written Assignment",,20 min,Money patterns by Builder Type. Money Pattern Inventory (250+ words). Optional live Money Patterns Circle,Yes,Module 6,Not Started,Pattern Recognition
Unit 10: Module 6 Wrap & Integration,Video,,10 min,Money as dignity not morality. Progress > perfection. Video 5-7 min. Certificate requires all assignments,No,Module 6,Not Started,Completion
Unit 8: Cohort Savings Streak & Tribe Resource Bank,"Activity Instructions, Discussion Forum, Reading, Video",,20 min,Group savings tracking (days not dollars). Contribute 1 verified financial resource to Tribe Resource Bank,Yes,Module 6,Not Started,Collective Finance
Unit 9: Financial Vision & Commitment,"Discussion Forum, Reading, Video, Written Assignment",,20 min,Money as legacy. Financial Vision Board + Money Commitment (200+ words each),Yes,Module 6,Not Started,Vision
Section 8: Passing the Torch – Graduation Reframed,"Activity Instructions, Discussion Forum",,15 min,Graduating INTO tribe not FROM program. Co-design ceremony. Torch Ceremony with builder marker. You are now infrastructure,No,Module 7,Not Started,Transition
"Section 2.5: Community Over Labels – Breaking ""Us vs Them""","Discussion Forum, Reading",,15 min,"Chetty social capital research. Peer-led models break helper/helped barriers. No fixed/broken people, only builders at different stages",No,Module 7,Not Started,Anti-Stigma
Section 7: Storytelling for Legacy,Activity Instructions,,10 min,"1-min legacy message for future participant/family/community. Written, audio, or video. Optional sharing",No,Module 7,Not Started,Story
"Section 6: Legacy Transfer – ""From Me to We""",Written Assignment,,15 min,"Write: 1 mistake don't repeat, 1 truth learned hard way, 1 thing tribe must protect. Compiled into Legacy Playbook for future cohorts",Yes,Module 7,Not Started,Knowledge Transfer
Section 3: Personal Purpose Statement Workshop,"Discussion Forum, Video, Written Assignment",,35 min,Craft purpose statement. Purpose + Role Micro-Activity: Who are you responsible to? How will you show up? (inside/outside community),Yes,Module 7,Not Started,Purpose
Section 5: Tribe Commitment – Named Roles & Obligations,"Activity Instructions, Written Assignment",,25 min,"REQUIRED Tribe Commitment Card. Select 1 role for 6 months: Near-Peer Mentor, Pod Lead, Resource Connector, Story Contributor, Event Support. NON-NEGOTIABLE",Yes,Module 7,Not Started,Commitment
Section 4: Legacy Mapping – Ripple Effects & Community Networks,"Activity Instructions, Discussion Forum, Reading",,30 min,"Ripples diagram (Me → Immediate → Wider → Future). Legacy Claim Ceremony: Point to 1 person, say 'Part of what I'm building is for you'",Yes,Module 7,Not Started,Network Mapping
Section 2: Legacy Inventory – What You're Already Building,"Activity Instructions, Written Assignment",,20 min,Solo reflection: Who have you helped? What have you created? What would people remember? You're already building legacy,Yes,Module 7,Not Started,Current Legacy
"Section 1: ""What's Legacy?"" Visioning Icebreaker","Activity Instructions, Discussion Forum",,15 min,Legacy word association. Share-out and pattern recognition. Broaden definition beyond famous/wealthy,No,Module 7,Not Started,Introduction
Activity 8.1: Legacy Story Draft (Pre-Work),Written Assignment,,Homework,"1-2 page private draft: pattern trapped in, moment realized, what learned about wiring, build differently now, responsible for",Yes,Module 8,Not Started,Story Craft
Activity 8.2: Story Stewardship Filter,"Worksheet, Written Assignment",,20 min,For each story section: Serves others or just me? Now/Later/Never? Who is this for? Mark 🟢🟡🔴. Discernment not shame,Yes,Module 8,Not Started,Discernment
Activity 8.6: Passing of Custody (Closing Ritual),Activity Instructions,,20 min,"GRADUATION. Sign Alumni Ledger, receive token, place name in Playbook. You are now infrastructure. Physical = memory + responsibility",Yes,Module 8,Not Started,Ritual
Section 9: Final Reflection & Commitment,Written Assignment,,5 min,"One legacy move this month. Commitment card. Closing affirmation: Your story matters, you are a builder, build together",Yes,Module 7,Not Started,Completion
"Activity 8.3: Witness Circle (Small, Structured)",Activity Instructions,,20 min,Groups of 3-4. Share 3 sentences/60 seconds (🟢 only). Listeners respond: 'What I hear your story committing you to is ___'. No advice/praise/fixing,Yes,Module 8,Not Started,Witnessing
Assignment 8.A: 30-Day Follow-Through (Post-Grad),Written Assignment,,30 days,Complete action from Activity 8.4. Submit 30-Day Check-In Form. Report to accountability person. Integrity through follow-through,Yes,Module 8,Not Started,Post-Graduation
"Activity 8.4: Role Declaration (Public, Brief)",Activity Instructions,,20 min,THRESHOLD MOMENT. State alumni role + one 30-day action + accountability person. NON-OPTIONAL. Popcorn around circle,Yes,Module 8,Not Started,Threshold
Activity 8.5: The Legacy Ledger (Collective Asset),Written Assignment,,15 min,"Submit: 1 mistake don't repeat, 1 truth learned hard way, 1 practice kept stable. Compiled into Legacy Playbook. Program outlives you",Yes,Module 8,Not Started,Knowledge Base
Assignment 8.B: First Give-Back (Post-Grad),Activity Instructions,,60 days,"One hour service in alumni role. Logged not praised. Belonging requires participation. Examples: mentor, co-facilitate, attend circle, outreach",Yes,Module 8,Not Started,Post-Graduation
,,,,,No,Module 1,,
